player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score
N Pooran,43,1381,803,0,0,106,102,0,1691,0,1691,39.325581395348834,1.0,39.325581395348834,171.98007471980074,6,,0,45.325581395348834,43.225991032551235
Ar Patel,41,781,570,974,772,63,40,27,924,675,1599,39.0,1.0,39.0,137.01754385964912,2,7.569948186528498,0,41.0,42.911983462156165
Jc Buttler,38,1289,901,0,0,130,50,0,1519,0,1519,39.97368421052632,1.0,39.97368421052632,143.06326304106548,2,,0,41.97368421052632,42.503067996460025
Sm Curran,32,660,531,1016,627,55,23,27,761,675,1436,44.875,1.0,44.875,124.29378531073448,0,9.722488038277511,0,44.875,42.42896420678083
Abhishek Sharma,41,1149,656,283,184,110,76,4,1411,100,1511,36.85365853658536,1.0,36.85365853658536,175.15243902439025,6,9.228260869565217,0,42.85365853658536,42.16818646991412
C Green,29,707,472,634,462,62,32,17,833,425,1258,43.37931034482759,1.0,43.37931034482759,149.78813559322032,2,8.233766233766234,0,45.37931034482759,41.802816176716384
Pd Salt,34,1056,623,0,0,122,56,0,1290,0,1290,37.94117647058823,1.0,37.94117647058823,169.5024077046549,4,,0,41.94117647058823,40.87948961244963
Hh Pandya,44,786,556,922,611,61,39,28,925,700,1625,36.93181818181818,1.0,36.93181818181818,141.36690647482015,2,9.054009819967268,0,38.93181818181818,40.7436610254595
P Simran Singh,46,1291,837,0,0,135,69,0,1564,0,1564,34.0,1.0,34.0,154.24133811230584,4,,0,38.0,40.67678649793183
Ss Iyer,31,955,610,0,0,77,53,0,1138,0,1138,36.70967741935484,1.0,36.70967741935484,156.55737704918033,4,,0,40.70967741935484,39.678282972734806
Tm Head,27,941,555,32,10,114,47,0,1149,0,1149,42.55555555555556,1.0,42.55555555555556,169.54954954954954,4,19.2,-6,40.55555555555556,39.57021501942991
Ad Russell,39,616,414,659,401,49,48,34,761,850,1611,41.30769230769231,1.0,41.30769230769231,148.79227053140096,2,9.860349127182046,0,43.30769230769231,39.25575116925805
Priyansh Arya,18,545,310,0,0,60,31,0,667,0,667,37.05555555555556,1.0,37.05555555555556,175.80645161290323,6,,0,43.05555555555556,39.19603169447264
Wg Jacks,20,463,306,209,145,38,29,8,559,200,759,37.95,1.0,37.95,151.30718954248366,4,8.648275862068965,0,41.95,37.884545485838714
Mp Stoinis,41,956,644,384,247,75,58,10,1147,250,1397,34.073170731707314,1.0,34.073170731707314,148.4472049689441,2,9.327935222672066,0,36.073170731707314,37.763712423005494
Jm Bairstow,13,383,246,0,0,40,19,0,461,0,461,35.46153846153846,1.0,35.46153846153846,155.6910569105691,4,,0,39.46153846153846,37.45876312141017
J Fraser-Mcgurk,15,385,203,0,0,39,30,0,484,0,484,32.266666666666666,1.0,32.266666666666666,189.6551724137931,6,,0,38.266666666666666,37.034494854274165
Jj Bumrah,25,12,13,626,617,1,0,38,13,950,963,38.52,1.0,38.52,92.3076923076923,0,6.087520259319287,2,40.52,37.0092866753995
D Brevis,9,294,189,0,0,16,22,0,354,0,354,39.333333333333336,0.9,35.400000000000006,155.55555555555557,4,,0,39.400000000000006,36.511251237868755
Pj Cummins,30,233,157,992,687,15,15,34,278,850,1128,37.6,1.0,37.6,148.4076433121019,2,8.663755458515285,0,39.6,36.237322722268004
