player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score,clean_name_x,clean_name_y,Role,Team_2025
J Overton,3,15,7,78,41,1,1,0,18,0,18,6,0.3,1.8,214.2857143,6,11.41463415,-4,3.8,3.018333333,j overton,jamie overton,AR,CSK
M Siddharth,5,0,0,131,101,0,0,3,0,75,75,15,0.5,7.5,0,-6,7.782178218,0,1.5,2.832333333,m siddharth,,BOWL,LSG
Mj Henry,4,0,0,108,74,0,0,1,0,25,25,6.25,0.4,2.5,0,-6,8.756756757,0,-3.5,2.816666667,mj henry,,BOWL,-
Km Asif,4,0,2,129,91,0,0,3,0,75,75,18.75,0.4,7.5,0,-6,8.505494505,0,1.5,2.812,km asif,km asif,BOWL,-
Pk Garg,2,22,23,0,0,1,0,0,23,0,23,11.5,0.2,2.3,95.65217391,0,,0,2.3,2.759,pk garg,,BAT,-
Cj Jordan,6,6,13,228,140,0,0,3,6,75,81,13.5,0.6,8.1,46.15384615,-6,9.771428571,0,2.1,2.739333333,cj jordan,,BOWL,-
Bkg Mendis,1,20,11,0,0,1,2,0,25,0,25,25,0.1,2.5,181.8181818,6,,0,8.5,2.721,bkg mendis,,BAT WK,GT
Prince Yadav,6,5,11,218,144,0,0,3,5,75,80,13.33333333,0.6,8,45.45454545,-6,9.083333333,0,2,2.692333333,prince yadav,prince yadav,BOWL,LSG
Mayank Dagar,8,0,1,198,138,0,0,2,0,50,50,6.25,0.8,5,0,-6,8.608695652,0,-1,2.683878788,mayank dagar,mayank dagar,AR,-
C Sakariya,3,4,6,120,74,1,0,3,5,75,80,26.66666667,0.3,8,66.66666667,-2,9.72972973,0,6,2.632,c sakariya,chetan sakariya,BOWL,-
Aj Turner,2,21,20,0,0,0,2,0,25,0,25,12.5,0.2,2.5,105,0,,0,2.5,2.517666667,aj turner,,BAT,-
Tanush Kotian,1,24,32,0,0,3,0,0,27,0,27,27,0.1,2.7,75,0,,0,2.7,2.427333333,tanush kotian,tanush kotian,AR,-
Kartik Tyagi,4,0,0,134,70,0,0,1,0,25,25,6.25,0.4,2.5,0,-6,11.48571429,-4,-7.5,2.295666667,kartik tyagi,kartik tyagi,BOWL,-
L Wood,2,9,3,91,38,0,1,1,11,25,36,18,0.2,3.6,300,6,14.36842105,-6,3.6,2.259666667,l wood,luke wood,BOWL,-
Pvsn Raju,2,1,1,48,29,0,0,1,1,25,26,13,0.2,2.6,100,0,9.931034483,0,2.6,2.242333333,pvsn raju,,BOWL,MI
Harsh Dubey,3,0,0,97,61,0,0,5,0,125,125,41.66666667,0.3,12.5,0,-6,9.540983607,0,6.5,2.237666667,harsh dubey,harsh dubey,AR,SRH
D Wiese,3,21,11,38,18,0,3,0,27,0,27,9,0.3,2.7,190.9090909,6,12.66666667,-6,2.7,2.011666667,d wiese,,AR,-
Saurav Chauhan,3,18,16,0,0,1,1,0,21,0,21,7,0.3,2.1,112.5,0,,0,2.1,1.999666667,saurav chauhan,saurav chauhan,BAT,-
Ra Bawa,1,8,4,0,0,0,0,0,8,0,8,8,0.1,0.8,200,6,,0,6.8,1.685333333,ra bawa,raj bawa,AR,MI
Mp Breetzke,1,14,12,0,0,1,1,0,17,0,17,17,0.1,1.7,116.6666667,0,,0,1.7,1.607666667,mp breetzke,,BAT WK,LSG
Mandeep Singh,3,14,16,0,0,0,1,0,16,0,16,5.333333333,0.3,1.6,87.5,0,,0,1.6,1.574333333,mandeep singh,ramandeep singh,AR,KKR
W O'Rourke,3,0,0,129,64,0,0,6,0,150,150,50,0.3,15,0,-6,12.09375,-6,3,1.344,w orourke,,BOWL,LSG
Ka Maharaj,2,1,2,39,36,0,0,2,1,50,51,25.5,0.2,5.1,50,-4,6.5,2,3.1,1.24,ka maharaj,keshav maharaj,BOWL,-
Aa Kulkarni,2,9,8,0,0,2,0,0,11,0,11,5.5,0.2,1.1,112.5,0,,0,1.1,1.136,aa kulkarni,,AR,-
S Gopal,3,0,0,67,42,0,0,3,0,75,75,25,0.3,7.5,0,-6,9.571428571,0,1.5,0.989,s gopal,,BOWL,-
M Vohra,1,10,11,0,0,1,0,0,11,0,11,11,0.1,1.1,90.90909091,0,,0,1.1,0.978,m vohra,,BAT,-
L Ngidi,2,0,2,81,48,0,0,4,0,100,100,50,0.2,10,0,-6,10.125,-2,2,0.936666667,l ngidi,,BOWL,RCB
Sz Mulani,2,1,1,54,33,0,0,0,1,0,1,0.5,0.2,0.1,100,0,9.818181818,0,0.1,0.896,sz mulani,,AR,-
Ja Richardson,1,2,2,38,25,0,0,0,2,0,2,2,0.1,0.2,100,0,9.12,0,0.2,0.566333333,ja richardson,jhye richardson,BOWL,-
Abdul Basith,1,1,1,0,0,0,0,0,1,0,1,1,0.1,0.1,100,0,,0,0.1,0.558,abdul basith,abdul basith,AR,-
Liton Das,1,4,4,0,0,1,0,0,5,0,5,5,0.1,0.5,100,0,,0,0.5,0.471,liton das,litton das,BAT,-
Rs Hangargekar,2,0,0,53,43,0,0,3,0,75,75,37.5,0.2,7.5,0,-6,7.395348837,0,1.5,0.426,rs hangargekar,,AR,-
Navdeep Saini,1,0,0,39,25,0,0,3,0,75,75,75,0.1,7.5,0,-6,9.36,0,1.5,0.24,navdeep saini,navdeep saini,BOWL,-
Sumit Kumar,3,18,26,36,22,2,1,0,22,0,22,7.333333333,0.3,2.2,69.23076923,-2,9.818181818,0,0.2,0.196333333,sumit kumar,sumit kumar,AR,-
Yv Dhull,3,16,23,0,0,1,0,0,17,0,17,5.666666667,0.3,1.7,69.56521739,-2,,0,-0.3,-0.086333333,yv dhull,,BAT,-
